date,ticker,return_value
2020-11-26,ZOREN,
2020-11-26,OTKAR,
2020-11-27,AEFES,
2020-11-27,AGHOL,
2020-11-27,AKSA,
2020-11-27,EREGL,
2020-11-27,FROTO,
2020-11-27,BTCIM,
2020-11-27,CCOLA,
2020-11-27,PAPIL,
2020-11-27,TURSG,
2020-11-27,TKFEN,
2020-11-27,OYAKC,
2020-11-27,PGSUS,
2020-11-27,SASA,
2020-11-27,MAVI,
2020-11-27,BRYAT,
2020-11-27,AKFGY,
2020-11-27,AGESA,
2020-11-27,AKBNK,
2020-11-27,ASUZU,
2020-11-27,AKSEN,
2020-11-27,ANHYT,
2020-11-27,ALARK,
2020-11-27,ENKAI,
2020-11-27,EGEEN,
2020-11-27,BRSAN,
2020-11-27,CEMTS,
2020-11-27,ECILC,
2020-11-27,DOHOL,
2020-11-27,CIMSA,
2020-11-27,DOAS,
2020-11-27,GARAN,
2020-11-27,BERA,
2020-11-27,BRISA,
2020-11-27,BIMAS,
2020-11-27,BUCIM,
2020-11-27,ASELS,
2020-11-27,AYGAZ,
2020-11-27,ARCLK,
2020-11-27,YKBNK,
2020-11-27,VAKBN,
2020-11-27,ULKER,
2020-11-27,VESTL,
2020-11-27,VESBE,
2020-11-27,ENJSA,
2020-11-27,EKGYO,
2020-11-27,GUBRF,
2020-11-27,MPARK,
2020-11-27,ODAS,
2020-11-27,MGROS,
2020-11-27,LOGO,
2020-11-27,ISGYO,
2020-11-27,KCHOL,
2020-11-27,HEKTS,
2020-11-27,HALKB,
2020-11-27,THYAO,
2020-11-27,SOKM,
2020-11-27,TCELL,
2020-11-27,TAVHL,
2020-11-27,SISE,
2020-11-27,SAHOL,
2020-11-27,SKBNK,
2020-11-27,PETKM,
2020-11-27,TKNSA,
2020-11-27,INDES,
2020-11-27,DGATE,
2020-11-27,TUPRS,
2020-11-27,TOASO,
2020-11-27,TTRAK,
2020-11-27,KRDMD,
2020-11-27,ISCTR,
2020-11-27,TTKOM,
2020-11-27,ZOREN,
2020-11-27,OTKAR,
2020-11-30,AEFES,
2020-11-30,AGHOL,
2020-11-30,AKSA,
2020-11-30,EREGL,
2020-11-30,FROTO,
2020-11-30,BTCIM,
2020-11-30,CCOLA,
2020-11-30,PAPIL,
2020-11-30,TURSG,
2020-11-30,TKFEN,
2020-11-30,OYAKC,
2020-11-30,PGSUS,
2020-11-30,SASA,
2020-11-30,MAVI,
2020-11-30,BRYAT,
2020-11-30,AKFGY,
2020-11-30,AGESA,
2020-11-30,AKBNK,
2020-11-30,ASUZU,
2020-11-30,AKSEN,
2020-11-30,ANHYT,
2020-11-30,ALARK,
2020-11-30,ENKAI,
2020-11-30,EGEEN,
2020-11-30,BRSAN,
2020-11-30,CEMTS,
2020-11-30,ECILC,
2020-11-30,DOHOL,
2020-11-30,CIMSA,
2020-11-30,DOAS,
2020-11-30,GARAN,
2020-11-30,BERA,
2020-11-30,BRISA,
2020-11-30,BIMAS,
2020-11-30,BUCIM,
2020-11-30,ASELS,
2020-11-30,AYGAZ,
2020-11-30,ARCLK,
2020-11-30,YKBNK,
2020-11-30,VAKBN,
2020-11-30,ULKER,
2020-11-30,VESTL,
2020-11-30,VESBE,
2020-11-30,ENJSA,
2020-11-30,EKGYO,
2020-11-30,GUBRF,
2020-11-30,MPARK,
2020-11-30,ODAS,
2020-11-30,MGROS,
2020-11-30,LOGO,
2020-11-30,ISGYO,
2020-11-30,KCHOL,
2020-11-30,HEKTS,
2020-11-30,HALKB,
2020-11-30,THYAO,
2020-11-30,SOKM,
2020-11-30,TCELL,
2020-11-30,TAVHL,
2020-11-30,SISE,
2020-11-30,SAHOL,
2020-11-30,SKBNK,
2020-11-30,PETKM,
2020-11-30,TKNSA,
2020-11-30,INDES,
2020-11-30,DGATE,
2020-11-30,TUPRS,
2020-11-30,TOASO,
2020-11-30,TTRAK,
2020-11-30,KRDMD,
2020-11-30,ISCTR,
2020-11-30,TTKOM,
2020-11-30,ZOREN,
2020-11-30,OTKAR,
2020-12-01,AEFES,
2020-12-01,AGHOL,
2020-12-01,AKSA,
2020-12-01,EREGL,
2020-12-01,FROTO,
2020-12-01,BTCIM,
2020-12-01,CCOLA,
2020-12-01,PAPIL,
2020-12-01,TURSG,
2020-12-01,TKFEN,
2020-12-01,OYAKC,
2020-12-01,PGSUS,
2020-12-01,SASA,
2020-12-01,MAVI,
2020-12-01,BRYAT,
2020-12-01,AKFGY,
2020-12-01,AGESA,
2020-12-01,AKBNK,
2020-12-01,ASUZU,
2020-12-01,AKSEN,
2020-12-01,ANHYT,
2020-12-01,ALARK,
2020-12-01,ENKAI,
2020-12-01,EGEEN,
2020-12-01,BRSAN,
2020-12-01,CEMTS,
2020-12-01,ECILC,
2020-12-01,DOHOL,
2020-12-01,CIMSA,
2020-12-01,DOAS,
2020-12-01,GARAN,
2020-12-01,BERA,
2020-12-01,BRISA,
2020-12-01,BIMAS,
2020-12-01,BUCIM,
2020-12-01,ASELS,
2020-12-01,AYGAZ,
2020-12-01,ARCLK,
2020-12-01,YKBNK,
2020-12-01,VAKBN,
2020-12-01,ULKER,
2020-12-01,VESTL,
2020-12-01,VESBE,
2020-12-01,ENJSA,
2020-12-01,EKGYO,
2020-12-01,GUBRF,
2020-12-01,MPARK,
2020-12-01,ODAS,
2020-12-01,MGROS,
2020-12-01,LOGO,
2020-12-01,ISGYO,
2020-12-01,KCHOL,
2020-12-01,HEKTS,
2020-12-01,HALKB,
2020-12-01,THYAO,
2020-12-01,SOKM,
2020-12-01,TCELL,
2020-12-01,TAVHL,
2020-12-01,SISE,
2020-12-01,SAHOL,
2020-12-01,SKBNK,
2020-12-01,PETKM,
2020-12-01,TKNSA,
2020-12-01,INDES,
2020-12-01,DGATE,
2020-12-01,TUPRS,
2020-12-01,TOASO,
2020-12-01,TTRAK,
2020-12-01,KRDMD,
2020-12-01,ISCTR,
2020-12-01,TTKOM,
2020-12-01,ZOREN,
2020-12-01,OTKAR,
2020-12-02,AEFES,
2020-12-02,AGHOL,
2020-12-02,AKSA,
2020-12-02,EREGL,
2020-12-02,FROTO,
2020-12-02,BTCIM,
2020-12-02,CCOLA,
2020-12-02,PAPIL,
2020-12-02,TURSG,
2020-12-02,TKFEN,
2020-12-02,OYAKC,
2020-12-02,PGSUS,
2020-12-02,SASA,
2020-12-02,MAVI,
2020-12-02,BRYAT,
2020-12-02,AKFGY,
2020-12-02,AGESA,
2020-12-02,AKBNK,
2020-12-02,ASUZU,
2020-12-02,AKSEN,
2020-12-02,ANHYT,
2020-12-02,ALARK,
2020-12-02,ENKAI,
2020-12-02,EGEEN,
2020-12-02,BRSAN,
2020-12-02,CEMTS,
2020-12-02,ECILC,
2020-12-02,DOHOL,
2020-12-02,CIMSA,
2020-12-02,DOAS,
2020-12-02,GARAN,
2020-12-02,BERA,
2020-12-02,BRISA,
2020-12-02,BIMAS,
2020-12-02,BUCIM,
2020-12-02,ASELS,
2020-12-02,AYGAZ,
2020-12-02,ARCLK,
2020-12-02,YKBNK,
2020-12-02,VAKBN,
2020-12-02,ULKER,
2020-12-02,VESTL,
2020-12-02,VESBE,
2020-12-02,ENJSA,
2020-12-02,EKGYO,
2020-12-02,GUBRF,
2020-12-02,MPARK,
2020-12-02,ODAS,
2020-12-02,MGROS,
2020-12-02,LOGO,
2020-12-02,ISGYO,
2020-12-02,KCHOL,
2020-12-02,HEKTS,
2020-12-02,HALKB,
2020-12-02,THYAO,
2020-12-02,SOKM,
2020-12-02,TCELL,
2020-12-02,TAVHL,
2020-12-02,SISE,
2020-12-02,SAHOL,
2020-12-02,SKBNK,
2020-12-02,PETKM,
2020-12-02,TKNSA,
2020-12-02,INDES,
2020-12-02,DGATE,
2020-12-02,TUPRS,
2020-12-02,TOASO,
2020-12-02,TTRAK,
2020-12-02,KRDMD,
2020-12-02,ISCTR,
2020-12-02,TTKOM,
2020-12-02,ZOREN,
2020-12-02,OTKAR,
2020-12-03,AEFES,
2020-12-03,AGHOL,
2020-12-03,AKSA,
2020-12-03,EREGL,
2020-12-03,FROTO,
2020-12-03,BTCIM,
2020-12-03,CCOLA,
2020-12-03,PAPIL,
2020-12-03,TURSG,
2020-12-03,TKFEN,
2020-12-03,OYAKC,
2020-12-03,PGSUS,
2020-12-03,SASA,
2020-12-03,MAVI,
2020-12-03,BRYAT,
2020-12-03,AKFGY,
2020-12-03,AGESA,
2020-12-03,AKBNK,
2020-12-03,ASUZU,
2020-12-03,AKSEN,
2020-12-03,ANHYT,
2020-12-03,ALARK,
2020-12-03,ENKAI,
2020-12-03,EGEEN,
2020-12-03,BRSAN,
2020-12-03,CEMTS,
2020-12-03,ECILC,
2020-12-03,DOHOL,
2020-12-03,CIMSA,
2020-12-03,DOAS,
